z,y,x
89,2816,1792
90,2816,1792
91,2816,1792
92,2816,1792
93,2816,1792
94,2816,1792
95,2816,1792
44,2560,2048
44,2816,2048
44,2816,2304
45,2560,2048
45,2816,2048
45,2816,2304
46,2560,2048
46,2816,2048
46,2816,2304
47,2560,2048
47,2816,2048
47,2816,2304
176,2816,2048
176,2816,2304
96,2304,1792
97,2304,1792
98,2304,1792
99,2304,1792
100,2304,1792
101,2304,1792
102,2304,1792
103,2304,1792
96,2816,1792
97,2816,1792
98,2816,1792
99,2816,1792
100,2816,1792
101,2816,1792
102,2816,1792
103,2816,1792
48,2560,2048
48,2816,2048
48,2816,2304
49,2560,2048
49,2816,2048
49,2816,2304
50,2560,2048
50,2816,2048
50,2816,2304
51,2560,2048
51,2816,2048
51,2816,2304
104,2304,1792
105,2304,1792
106,2304,1792
107,2304,1792
108,2048,1792
108,2304,1792
109,2048,1792
109,2304,1792
110,2048,1792
110,2304,1792
111,2048,1792
111,2304,1792
104,2816,1792
105,2816,1792
106,2816,1792
107,2816,1792
108,2816,1792
109,2816,1792
110,2816,1792
111,2816,1792
52,2560,2048
52,2816,2048
52,2816,2304
53,2560,2048
53,2816,2048
53,2816,2304
54,2560,2048
54,2816,2048
54,2816,2304
55,2560,2048
55,2816,2048
55,2816,2304
112,2048,1792
112,2304,1792
113,2048,1792
113,2304,1792
114,2048,1792
114,2304,1792
115,2048,1792
115,2304,1792
116,2048,1792
116,2304,1792
117,2048,1792
117,2304,1792
118,2048,1792
118,2304,1792
119,2048,1792
119,2304,1792
112,2816,1792
113,2816,1792
114,2816,1792
115,2816,1792
116,2816,1792
117,2816,1792
118,2816,1792
119,2816,1792
56,2560,2048
56,2816,2048
56,2816,2304
57,2560,2048
57,2816,2048
57,2816,2304
58,2560,2048
58,2816,2048
58,2816,2304
59,2560,2048
59,2816,2048
59,2816,2304
120,2048,1792
120,2304,1792
121,2048,1792
121,2304,1792
122,2048,1792
122,2304,1792
123,2048,1792
123,2304,1792
124,2048,1792
124,2304,1792
125,2048,1792
125,2304,1792
126,2048,1792
126,2304,1792
127,2048,1792
127,2304,1792
120,2816,1792
121,2816,1792
122,2816,1792
123,2816,1792
124,2816,1792
125,2816,1792
126,2816,1792
127,2816,1792
60,2560,2048
60,2816,2048
60,2816,2304
61,2560,2048
61,2816,2048
61,2816,2304
62,2560,2048
62,2816,2048
62,2816,2304
63,2560,2048
63,2816,2048
63,2816,2304
64,2560,2048
64,2816,2048
64,2816,2304
65,2560,2048
65,2816,2048
65,2816,2304
66,2560,2048
66,2816,2048
66,2816,2304
67,2560,2048
67,2816,2048
67,2816,2304
68,2560,2048
68,2816,2048
68,2816,2304
69,2560,2048
69,2816,2048
69,2816,2304
70,2560,2048
70,2816,2048
70,2816,2304
71,2560,2048
71,2816,2048
71,2816,2304
72,2560,2048
72,2816,2048
72,2816,2304
73,2560,2048
73,2816,2048
73,2816,2304
74,2560,2048
74,2816,2048
74,2816,2304
75,2560,2048
75,2816,2048
75,2816,2304
76,2560,2048
76,2816,2048
76,2816,2304
77,2560,2048
77,2560,2304
77,2816,2048
77,2816,2304
78,2560,2048
78,2560,2304
78,2816,2048
78,2816,2304
79,2560,2048
79,2560,2304
79,2816,2048
79,2816,2304
80,2560,2048
80,2560,2304
80,2816,2048
80,2816,2304
81,2560,2048
81,2560,2304
81,2816,2048
81,2816,2304
82,2560,2048
82,2560,2304
82,2816,2048
82,2816,2304
83,2560,2048
83,2560,2304
83,2816,2048
83,2816,2304
84,2560,2048
84,2560,2304
84,2816,2048
84,2816,2304
85,2560,2048
85,2560,2304
85,2816,2048
85,2816,2304
86,2560,2048
86,2560,2304
86,2816,2048
86,2816,2304
87,2560,2048
87,2560,2304
87,2816,2048
87,2816,2304
88,2560,2048
88,2560,2304
88,2816,2048
88,2816,2304
89,2560,2048
89,2560,2304
89,2816,2048
89,2816,2304
90,2560,2048
90,2560,2304
90,2816,2048
90,2816,2304
91,2560,2048
91,2560,2304
91,2816,2048
91,2816,2304
92,2560,2048
92,2560,2304
92,2816,2048
92,2816,2304
93,2560,2048
93,2560,2304
93,2816,2048
93,2816,2304
94,2560,2048
94,2560,2304
94,2816,2048
94,2816,2304
95,2560,2048
95,2560,2304
95,2816,2048
95,2816,2304
96,2560,2048
96,2560,2304
96,2816,2048
96,2816,2304
97,2560,2048
97,2560,2304
97,2816,2048
97,2816,2304
98,2560,2048
98,2560,2304
98,2816,2048
98,2816,2304
99,2560,2048
99,2560,2304
99,2816,2048
99,2816,2304
100,2560,2048
100,2560,2304
100,2816,2048
100,2816,2304
101,2560,2048
101,2560,2304
101,2816,2048
101,2816,2304
102,2560,2048
102,2560,2304
102,2816,2048
102,2816,2304
103,2560,2048
103,2560,2304
103,2816,2048
103,2816,2304
104,2560,2048
104,2816,2048
104,2816,2304
105,2560,2048
105,2816,2048
105,2816,2304
106,2560,2048
106,2816,2048
106,2816,2304
107,2560,2048
107,2816,2048
107,2816,2304
108,2560,2048
108,2816,2048
108,2816,2304
109,2560,2048
109,2816,2048
109,2816,2304
110,2560,2048
110,2816,2048
110,2816,2304
111,2560,2048
111,2816,2048
111,2816,2304
112,2560,2048
112,2816,2048
112,2816,2304
113,2560,2048
113,2816,2048
113,2816,2304
114,2560,2048
114,2816,2048
114,2816,2304
115,2560,2048
115,2816,2048
115,2816,2304
116,2816,2048
116,2816,2304
117,2816,2048
117,2816,2304
118,2816,2048
118,2816,2304
119,2816,2048
119,2816,2304
120,2816,2048
120,2816,2304
121,2816,2048
121,2816,2304
122,2816,2048
122,2816,2304
123,2560,2304
123,2816,2048
123,2816,2304
124,2560,2304
124,2816,2048
124,2816,2304
125,2560,2304
125,2816,2048
125,2816,2304
126,2560,2304
126,2816,2048
126,2816,2304
127,2560,2304
127,2816,2048
127,2816,2304
